"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HINTW",22014.6037928338,15.9531501994027,1.36427193203817,11.6935266531279,1.37553702753693e-31,2.56118855042238e-30
"UBE2R2L",1741.11300324771,14.3894253079833,1.45322531854552,9.90171663289294,4.09190187126913e-23,4.99959642165317e-22
"LOC112530494",4035.6175197265,14.2318868224361,1.36601648673218,10.418532251014,2.04078206513359e-25,2.82437145049018e-24
"OPN1MSW",2730.16395414682,14.2085957219736,1.45289769567073,9.77948809769032,1.37906255520234e-22,1.63702947355693e-21
"GUCA1A",1262.47067944896,13.8415457627777,1.46461129375876,9.45066163408786,3.36695643743693e-21,3.75269998348171e-20
"PNPLA1",4002.15936801723,13.4867739004981,1.03329591560909,13.0521893068242,6.17471267720201e-39,1.51310686457701e-37
"EAAT5L",761.943123351666,13.3773974033239,1.46077029963283,9.15776929931171,5.29811345432884e-20,5.55192857854639e-19
"LOC431003",818.231211724399,13.2400187913872,1.45520773412372,9.09837027450925,9.16974052341813e-20,9.42858120368597e-19
"SMAD2W",982.516783727555,13.2227458740368,1.45297050109863,9.100491623222,8.99238503632196e-20,9.25708450184471e-19
"LOC107049174",809.191320103374,12.9480255881268,1.45856926386687,8.87720995422577,6.85583186092917e-19,6.65859368266852e-18
